epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,342.082,0.38256,1.22615,0.8827,0.88959,0.81475,0.93994,0.89826,0.27967,1.0232,0.87779,0.000312688,0.000312688,0.000312688
77,346.258,0.41729,1.12842,0.89799,0.92845,0.83702,0.93665,0.89459,0.2822,0.89457,0.87809,0.00031019,0.00031019,0.00031019
78,350.61,0.43151,1.25006,0.91462,0.86872,0.90175,0.95003,0.90732,0.27354,0.87256,0.87026,0.000307692,0.000307692,0.000307692
79,355.026,0.40798,1.20712,0.90916,0.88462,0.84238,0.95259,0.90959,0.28105,1.00453,0.87525,0.000305195,0.000305195,0.000305195
80,359.436,0.43696,1.19948,0.91165,0.91203,0.85262,0.96559,0.91843,0.29706,0.86048,0.88263,0.000302697,0.000302697,0.000302697
81,363.863,0.41426,1.17754,0.90442,0.93157,0.79135,0.95967,0.91213,0.29112,1.00003,0.87959,0.0003002,0.0003002,0.0003002
82,368.267,0.40222,1.09862,0.90335,0.88753,0.92721,0.9626,0.92409,0.27193,0.88959,0.87623,0.000297703,0.000297703,0.000297703
83,372.586,0.40812,1.12452,0.8976,0.83823,0.89208,0.94642,0.89442,0.29173,0.98401,0.87948,0.000295205,0.000295205,0.000295205
84,376.794,0.40873,1.21612,0.9035,0.93071,0.83625,0.93434,0.89018,0.28082,0.93134,0.87433,0.000292708,0.000292708,0.000292708
85,381.462,0.4413,1.06034,0.93841,0.86017,0.96122,0.94562,0.90334,0.29462,0.84941,0.88394,0.00029021,0.00029021,0.00029021
86,385.793,0.43074,1.14905,0.91868,0.96795,0.9024,0.9643,0.92337,0.31622,0.74118,0.88898,0.000287712,0.000287712,0.000287712
87,390.145,0.42975,1.15081,0.91859,0.9581,0.91483,0.97214,0.93337,0.29275,0.72744,0.87903,0.000285215,0.000285215,0.000285215
88,394.482,0.42434,1.02664,0.90971,0.89303,0.94394,0.9647,0.92218,0.28404,0.67753,0.87551,0.000282717,0.000282717,0.000282717
89,398.848,0.4086,1.09799,0.89892,0.88202,0.93228,0.95402,0.9121,0.28818,0.75278,0.87426,0.00028022,0.00028022,0.00028022
90,403.032,0.39344,1.11173,0.90425,0.87261,0.94504,0.96314,0.92128,0.28828,0.69828,0.8738,0.000277723,0.000277723,0.000277723
91,407.168,0.39037,1.06126,0.89415,0.92117,0.92088,0.96607,0.91735,0.29026,0.68965,0.87583,0.000275225,0.000275225,0.000275225
92,411.437,0.41201,1.1001,0.90102,0.90566,0.9349,0.97309,0.92758,0.30695,0.78543,0.88094,0.000272727,0.000272727,0.000272727
93,415.546,0.42128,1.08132,0.91512,0.86246,0.90872,0.93858,0.90778,0.26681,0.96269,0.87217,0.00027023,0.00027023,0.00027023
94,419.829,0.41717,1.15054,0.91555,0.80019,0.8353,0.87708,0.84897,0.2824,1.44441,0.88217,0.000267732,0.000267732,0.000267732
95,423.987,0.43111,1.23057,0.89233,0.8584,0.81379,0.88463,0.83627,0.32755,1.26284,0.89344,0.000265235,0.000265235,0.000265235
96,428.193,0.41188,1.07,0.90238,0.90837,0.9163,0.95489,0.91255,0.30259,0.76339,0.88548,0.000262738,0.000262738,0.000262738
97,432.415,0.40468,1.08367,0.89512,0.97361,0.91744,0.97895,0.94704,0.26398,0.6612,0.8746,0.00026024,0.00026024,0.00026024
98,436.964,0.40245,1.05089,0.90409,0.9463,0.96643,0.97806,0.94538,0.27973,0.61207,0.87836,0.000257742,0.000257742,0.000257742
